Subject,B0,B10,B20,B30,B40,B50,B60,B70,B80,B90,B100,F0,F10,F20,F30,F40,F50,F60,F70,F80,F90,F100,S0,S10,S20,S30,S40,S50,S60,S70,S80,S90,S100,U0,U10,U20,U30,U40,U50,U60,U70,U80,U90,U100,Group
59,100,0,0,0,0,0,0,0,0,0,84.21052632,0,0,0,0,0,0,0,0,0,0,61.11111111,0,0,0,0,0,0,0,0,50,66.66666667,66.66666667,0,0,0,0,0,0,0,0,100,33.33333333,50,RL
60,0,0,0,0,0,50,0,100,85.71428571,50,50,0,0,0,0,0,66.66666667,100,100,75,100,100,0,100,100,100,0,100,100,75,0,100,0,28.57142857,80,66.66666667,0,0,33.33333333,0,0,0,0,0,RL
69,0,0,100,100,0,0,80,75,0,0,50,0,0,0,66.66666667,100,100,0,100,100,60,100,0,0,0,100,0,0,100,100,0,50,62.5,0,0,0,0,0,66.66666667,0,25,0,50,100,RL
70,0,0,0,0,50,50,100,50,50,0,0,0,100,100,100,100,100,100,75,60,100,0,0,0,50,100,100,100,100,0,100,0,0,0,100,25,100,100,50,100,0,0,0,0,RL
71,0,0,0,100,0,0,0,0,75,83.33333333,77.77777778,0,0,0,0,0,0,0,50,66.66666667,62.5,66.66666667,0,0,0,0,0,0,0,0,100,66.66666667,66.66666667,0,0,33.33333333,50,0,0,0,25,0,20,0,RL
72,0,0,0,0,100,40,0,100,80,100,0,0,0,0,100,100,100,100,100,66.66666667,100,0,0,0,0,0,0,100,100,50,100,80,0,0,0,0,0,100,0,100,100,100,100,0,RL
81,0,0,0,0,0,0,0,0,0,31.25,0,0,0,0,0,0,0,0,0,0,38.88888889,0,0,0,0,0,0,0,0,0,0,38.88888889,0,0,0,0,0,0,0,0,0,0,29.41176471,0,RL
82,0,0,0,0,0,0,100,35.71428571,100,100,0,0,0,0,0,0,0,100,87.5,85.71428571,100,0,0,0,0,0,0,100,100,75,50,0,0,0,0,0,0,66.66666667,71.42857143,100,50,0,0,0,RL
83,0,0,0,100,0,100,100,85.71428571,100,0,0,0,0,0,0,100,100,66.66666667,66.66666667,50,0,0,0,0,0,0,0,0,100,66.66666667,90,66.66666667,0,0,0,100,50,25,0,77.77777778,50,0,0,0,RL
84,0,0,0,0,0,0,0,100,100,85.71428571,77.77777778,0,0,0,0,0,100,0,100,0,66.66666667,93.33333333,0,100,0,0,100,100,0,0,100,100,87.5,100,100,50,100,0,100,0,100,66.66666667,100,75,RL
93,0,0,0,0,0,100,100,100,100,75,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,100,100,75,100,75,0,100,0,100,100,80,100,66.66666667,100,100,0,RL
94,0,0,0,0,0,0,0,0,0,50,11.76470588,0,0,0,0,0,0,0,100,100,50,75,0,0,0,0,0,0,0,0,100,66.66666667,73.33333333,100,100,0,0,0,0,0,0,66.66666667,28.57142857,25,RL
95,0,0,0,0,0,100,85.71428571,62.5,100,0,0,0,0,0,0,0,100,57.14285714,54.54545455,0,0,0,0,0,0,0,0,100,88.88888889,80,100,0,0,0,0,0,100,33.33333333,0,60,33.33333333,50,0,0,RL
96,0,0,0,0,100,25,25,0,33.33333333,0,0,0,0,66.66666667,66.66666667,50,83.33333333,100,100,100,0,0,0,0,0,0,100,100,85.71428571,33.33333333,100,0,0,0,0,50,50,28.57142857,0,0,0,0,0,0,RL
