Sub.ID,Encoding,Group,Direction,JOL,Scored,Experiment
8,IS,JOL D,B,50,1,2
8,IS,JOL D,F,35,1,2
8,IS,JOL D,F,45,1,2
8,IS,JOL D,F,65,1,2
8,IS,JOL D,F,60,1,2
8,IS,JOL D,F,75,0,2
8,IS,JOL D,F,65,1,2
8,IS,JOL D,F,45,1,2
8,IS,JOL D,F,75,1,2
8,IS,JOL D,F,65,1,2
8,IS,JOL D,F,65,1,2
8,IS,JOL D,F,50,1,2
8,IS,JOL D,F,55,1,2
8,IS,JOL D,F,75,1,2
8,IS,JOL D,F,50,1,2
8,IS,JOL D,F,65,1,2
8,IS,JOL D,F,45,1,2
8,IS,JOL D,F,65,1,2
8,IS,JOL D,F,25,1,2
8,IS,JOL D,F,45,1,2
8,IS,JOL D,F,45,1,2
8,IS,JOL D,S,55,1,2
8,IS,JOL D,S,75,1,2
8,IS,JOL D,S,65,1,2
8,IS,JOL D,S,65,1,2
8,IS,JOL D,S,85,1,2
8,IS,JOL D,S,60,1,2
8,IS,JOL D,S,75,0,2
8,IS,JOL D,S,75,1,2
8,IS,JOL D,S,65,0,2
8,IS,JOL D,S,65,1,2
8,IS,JOL D,S,80,1,2
8,IS,JOL D,S,60,1,2
8,IS,JOL D,S,70,0,2
8,IS,JOL D,S,75,1,2
8,IS,JOL D,S,70,1,2
8,IS,JOL D,S,80,1,2
8,IS,JOL D,S,75,1,2
8,IS,JOL D,S,45,0,2
8,IS,JOL D,S,60,1,2
8,IS,JOL D,S,80,1,2
8,IS,JOL D,U,70,0,2
8,IS,JOL D,U,50,1,2
8,IS,JOL D,U,40,0,2
8,IS,JOL D,U,30,1,2
8,IS,JOL D,U,60,0,2
8,IS,JOL D,U,75,0,2
8,IS,JOL D,U,20,0,2
8,IS,JOL D,U,65,0,2
8,IS,JOL D,U,35,1,2
8,IS,JOL D,U,30,0,2
8,IS,JOL D,U,75,0,2
8,IS,JOL D,U,40,0,2
8,IS,JOL D,U,35,0,2
8,IS,JOL D,U,75,0,2
8,IS,JOL D,U,35,0,2
8,IS,JOL D,U,30,0,2
8,IS,JOL D,U,25,0,2
8,IS,JOL D,U,75,1,2
8,IS,JOL D,U,35,0,2
8,IS,JOL D,U,35,0,2
9,RL,JOL A,F,70,1,2
9,RL,JOL A,F,60,1,2
9,RL,JOL A,F,40,0,2
9,RL,JOL A,F,60,1,2
9,RL,JOL A,F,60,1,2
9,RL,JOL A,F,60,1,2
9,RL,JOL A,F,80,1,2
9,RL,JOL A,F,60,1,2
9,RL,JOL A,F,60,1,2
9,RL,JOL A,F,60,1,2
9,RL,JOL A,F,40,1,2
9,RL,JOL A,F,50,1,2
9,RL,JOL A,F,55,1,2
9,RL,JOL A,F,70,1,2
9,RL,JOL A,F,40,1,2
9,RL,JOL A,F,60,1,2
9,RL,JOL A,F,60,1,2
9,RL,JOL A,F,100,1,2
9,RL,JOL A,F,70,1,2
9,RL,JOL A,F,70,1,2
9,RL,JOL A,B,65,1,2
