Subject,type,Group,Direction,Bin,Recall
26,READ,JOL B,U,20,0
26,READ,JOL B,U,70,0
26,READ,JOL B,U,50,0
26,READ,JOL B,U,100,100
26,READ,JOL B,U,50,0
26,READ,JOL B,U,0,0
27,READ,JOL C,F,90,0
27,READ,JOL C,F,70,0
27,READ,JOL C,F,70,0
27,READ,JOL C,F,80,0
27,READ,JOL C,F,60,0
27,READ,JOL C,F,50,0
27,READ,JOL C,F,70,100
27,READ,JOL C,F,50,100
27,READ,JOL C,F,30,0
27,READ,JOL C,F,80,100
27,READ,JOL C,F,20,0
27,READ,JOL C,F,70,0
27,READ,JOL C,F,90,0
27,READ,JOL C,F,70,100
27,READ,JOL C,F,70,0
27,READ,JOL C,F,70,0
27,READ,JOL C,F,90,0
27,READ,JOL C,F,90,0
27,READ,JOL C,F,60,100
27,READ,JOL C,F,80,0
27,READ,JOL C,B,50,100
27,READ,JOL C,B,70,100
27,READ,JOL C,B,90,100
27,READ,JOL C,B,50,100
27,READ,JOL C,B,80,100
27,READ,JOL C,B,80,0
27,READ,JOL C,B,100,0
27,READ,JOL C,B,80,100
27,READ,JOL C,B,90,100
27,READ,JOL C,B,70,100
27,READ,JOL C,B,50,100
27,READ,JOL C,B,80,100
27,READ,JOL C,B,80,100
27,READ,JOL C,B,80,100
27,READ,JOL C,B,50,0
27,READ,JOL C,B,90,100
27,READ,JOL C,B,80,100
27,READ,JOL C,B,80,100
27,READ,JOL C,B,80,100
27,READ,JOL C,B,80,100
27,READ,JOL C,S,90,100
27,READ,JOL C,S,40,0
27,READ,JOL C,S,50,0
27,READ,JOL C,S,50,0
27,READ,JOL C,S,70,0
27,READ,JOL C,S,90,100
27,READ,JOL C,S,60,0
27,READ,JOL C,S,80,0
27,READ,JOL C,S,90,100
27,READ,JOL C,S,70,100
27,READ,JOL C,S,90,100
27,READ,JOL C,S,80,0
27,READ,JOL C,S,100,0
27,READ,JOL C,S,80,0
27,READ,JOL C,S,90,100
27,READ,JOL C,S,70,100
27,READ,JOL C,S,80,100
27,READ,JOL C,S,100,100
27,READ,JOL C,S,70,100
27,READ,JOL C,S,100,100
27,READ,JOL C,U,30,0
27,READ,JOL C,U,20,0
27,READ,JOL C,U,40,0
27,READ,JOL C,U,40,0
27,READ,JOL C,U,20,0
27,READ,JOL C,U,40,0
27,READ,JOL C,U,20,0
27,READ,JOL C,U,10,0
27,READ,JOL C,U,20,0
27,READ,JOL C,U,30,100
27,READ,JOL C,U,40,0
27,READ,JOL C,U,40,0
27,READ,JOL C,U,20,0
27,READ,JOL C,U,30,0
27,READ,JOL C,U,20,0
27,READ,JOL C,U,50,0
